trial,val_accuracy,val_recall,val_precision,val_f1,val_auc,hidden_sizes,n_layers,n_units_l0,n_units_l1,n_units_l2,activation,learning_rate,alpha,batch_size,n_units_l3
23,0.8480511109209663,0.8103448275862069,0.8047945205479452,0.8075601374570447,0.9545753442647557,"[384, 64, 256, 256]",4,384,64,256.0,relu,0.0007567869133126413,0.00017017897900807743,64,256.0
24,0.9247311827956989,0.8741379310344828,0.823051948051948,0.8478260869565217,0.9627096544219729,"[384, 64]",2,384,64,,relu,0.0010653698125683852,5.517005037033104e-05,64,
25,0.8785322723253758,0.8241379310344827,0.806070826306914,0.815004262574595,0.954439326854527,"[128, 512, 256]",3,128,512,256.0,relu,0.0017061912925832783,4.6086051606030734e-05,64,
26,0.7995014403468241,0.7879310344827586,0.8059964726631393,0.7968613775065388,0.9481675171663353,"[384, 64, 64, 64]",4,384,64,64.0,relu,0.00038444646958644133,0.00039874004694438053,64,64.0
27,0.9099803200136904,0.8396551724137931,0.7983606557377049,0.8184873949579832,0.9482256763348467,"[384, 64, 384]",3,384,64,384.0,relu,0.00010154440695212039,2.044428068204174e-05,64,
28,0.9090157154673284,0.846551724137931,0.7893890675241158,0.8169717138103162,0.9438656147986941,"[128, 512]",2,128,512,,relu,0.000600557091770143,4.796829933533337e-06,256,
29,0.8568814352129146,0.8172413793103448,0.7847682119205298,0.8006756756756757,0.947110333570973,"[64, 128, 128]",3,64,128,128.0,relu,0.0005252454005592115,6.324837485187587e-06,128,
30,0.9090157154673284,0.8620689655172413,0.78125,0.819672131147541,0.95377331056996,"[256, 256]",2,256,256,,relu,0.001622032501976147,1.7487745972601858e-06,64,
31,0.9181141439205955,0.8672413793103448,0.8060897435897436,0.8355481727574751,0.9634849536602754,"[384, 64]",2,384,64,,relu,0.0009836669355381788,6.836594738735827e-05,64,
32,0.9214226633581473,0.9137931034482759,0.7910447761194029,0.848,0.9646040486285692,"[384, 64]",2,384,64,,relu,0.000985020227818071,0.00016122543390362744,64,
33,0.9193548387096774,0.8517241379310345,0.8192371475953566,0.8351648351648352,0.9582867434617839,"[384, 64]",2,384,64,,relu,0.00028715416306135004,0.00015307944335730538,64,
34,0.9177005789909015,0.853448275862069,0.812807881773399,0.832632464255677,0.9574748602303853,"[384, 64]",2,384,64,,relu,0.0004660572370182082,0.0002949986684944217,64,
35,0.9110835401157982,0.853448275862069,0.792,0.8215767634854771,0.9576718509624405,"[512, 64]",2,512,64,,relu,0.0006947830198137768,1.7541641287010786e-05,128,
36,0.9185277088502894,0.8586206896551725,0.8123980424143556,0.8348700754400671,0.9557282090728303,"[384, 384]",2,384,384,,relu,0.002189595554845506,5.776952458442127e-05,64,
37,0.9061207609594706,0.8517241379310345,0.7779527559055118,0.8131687242798354,0.9513658024089152,"[384, 128, 512]",3,384,128,512.0,relu,0.0014129915028649825,0.00012330734143493273,64,
38,0.9247311827956989,0.8810344827586207,0.8189102564102564,0.8488372093023255,0.9570949495328507,"[384, 384]",2,384,384,,relu,0.0010224721954829265,2.6600681788155727e-05,64,
39,0.9181141439205955,0.8568965517241379,0.8120915032679739,0.8338926174496645,0.9560893587482646,"[64, 384]",2,64,384,,relu,0.0009741234614142964,9.81049305559439e-06,64,
40,0.913564929693962,0.8724137931034482,0.7893915756630265,0.8288288288288288,0.9518146598626692,"[512, 384]",2,512,384,,tanh,0.0035117775013263834,0.0004632954876006153,128,
41,0.9032258064516129,0.8482758620689655,0.7711598746081505,0.8078817733990148,0.9471919440171102,"[384, 384]",2,384,384,,relu,0.000623373810797871,2.209242134794092e-05,64,
42,0.9181141439205955,0.8551724137931035,0.8131147540983606,0.8336134453781513,0.9536973284304529,"[384, 384]",2,384,384,,relu,0.0011111016192012603,2.8504464491871178e-05,64,
43,0.913564929693962,0.8741379310344828,0.7884914463452566,0.8291087489779232,0.9536344790064162,"[384, 64, 256]",3,384,64,256.0,relu,0.0008118518673709096,1.3225928823122684e-05,64,
44,0.9148056244830438,0.8758620689655172,0.7912772585669782,0.8314238952536824,0.9564195527372331,"[384, 384, 64]",3,384,384,64.0,relu,0.0003067217502090756,4.4912469326950295e-05,64,
45,0.8986765922249793,0.8482758620689655,0.7580893682588598,0.8006509357200976,0.9400074106037297,"[128, 512]",2,128,512,,relu,0.00021338834883087929,0.00023954970715597685,256,
