id,hidden_layer_sizes,alpha,learning_rate_init,max_iter,best_threshold,train_acc_05,train_rec_05,train_prec_05,train_auc_05,val_acc_05,val_rec_05,val_prec_05,val_auc_05,test_acc_05,test_rec_05,test_prec_05,test_auc_05,val_acc_tuned,val_rec_tuned,val_prec_tuned,val_auc_tuned,test_acc_tuned,test_rec_tuned,test_prec_tuned,test_auc_tuned,val_tn,val_fp,val_fn,val_tp,test_tn,test_fp,test_fn,test_tp,train_time,early_stop_epoch,converged,constraint_met,is_leader
mlp_exp_20251201_2105_model011,"(128, 64, 32)",0.001,0.0007,300,0.31,0.9417862838915471,0.8965262379896526,0.8655012486621477,0.9843792048060341,0.9052936311000828,0.8310344827586207,0.7862969004893964,0.9462219991745151,0.9049193881769326,0.846551724137931,0.7768987341772152,0.9514578762820873,0.8961952026468155,0.9206896551724137,0.7225981055480379,0.9462219991745151,0.8983050847457628,0.9189655172413793,0.7281420765027322,0.9514578762820873,1633,205,46,534,1640,199,47,533,1.1869149208068848,42,True,False,False
mlp_exp_20251201_2105_model012,"(128, 64, 32)",0.001,0.0007,500,0.31,0.9417862838915471,0.8965262379896526,0.8655012486621477,0.9843792048060341,0.9052936311000828,0.8310344827586207,0.7862969004893964,0.9462219991745151,0.9049193881769326,0.846551724137931,0.7768987341772152,0.9514578762820873,0.8961952026468155,0.9206896551724137,0.7225981055480379,0.9462219991745151,0.8983050847457628,0.9189655172413793,0.7281420765027322,0.9514578762820873,1633,205,46,534,1640,199,47,533,1.2422380447387695,42,True,False,False
mlp_exp_20251201_2105_model013,"(128, 64, 32)",0.01,0.001,300,0.30000000000000004,0.9479886585149743,0.9308943089430894,0.8629667694415896,0.9881157860370721,0.9160463192721258,0.8706896551724138,0.7977883096366508,0.9562825972758995,0.9140140553947912,0.8775862068965518,0.7879256965944272,0.9614408130355705,0.913564929693962,0.9344827586206896,0.7601683029453016,0.9562825972758995,0.9123604795369987,0.9413793103448276,0.7541436464088398,0.9614408130355705,1667,171,38,542,1661,178,34,546,1.6725859642028809,55,True,True,False
mlp_exp_20251201_2105_model014,"(128, 64, 32)",0.01,0.001,500,0.30000000000000004,0.9479886585149743,0.9308943089430894,0.8629667694415896,0.9881157860370721,0.9160463192721258,0.8706896551724138,0.7977883096366508,0.9562825972758995,0.9140140553947912,0.8775862068965518,0.7879256965944272,0.9614408130355705,0.913564929693962,0.9344827586206896,0.7601683029453016,0.9562825972758995,0.9123604795369987,0.9413793103448276,0.7541436464088398,0.9614408130355705,1667,171,38,542,1661,178,34,546,1.5641100406646729,55,True,True,False
mlp_exp_20251201_2105_model015,"(128, 64, 32)",0.01,0.0007,300,0.35,0.9485202906255538,0.9172209903917221,0.874251497005988,0.9873699255905464,0.9081885856079405,0.8362068965517241,0.7924836601307189,0.9502546808750141,0.9086399338569657,0.853448275862069,0.7844690966719493,0.9589366409780428,0.9094292803970223,0.9224137931034483,0.7545839210155149,0.9502546808750141,0.9086399338569657,0.9258620689655173,0.7510489510489511,0.9589366409780428,1664,174,45,535,1661,178,43,537,1.7798500061035156,61,True,True,False
mlp_exp_20251201_2105_model016,"(128, 64, 32)",0.01,0.0007,500,0.35,0.9485202906255538,0.9172209903917221,0.874251497005988,0.9873699255905464,0.9081885856079405,0.8362068965517241,0.7924836601307189,0.9502546808750141,0.9086399338569657,0.853448275862069,0.7844690966719493,0.9589366409780428,0.9094292803970223,0.9224137931034483,0.7545839210155149,0.9502546808750141,0.9086399338569657,0.9258620689655173,0.7510489510489511,0.9589366409780428,1664,174,45,535,1661,178,43,537,1.7220370769500732,61,True,True,False
mlp_exp_20251201_2105_model017,"(256, 128, 64)",1e-05,0.001,300,0.33,0.9464823675349991,0.9231337767923133,0.8631651693158259,0.9866670930695322,0.9114971050454922,0.8482758620689655,0.7961165048543689,0.9537048328392931,0.9111202976436544,0.853448275862069,0.792,0.9517682023588532,0.9102564102564102,0.9241379310344827,0.7559943582510579,0.9537048328392931,0.9102935097147582,0.9241379310344827,0.7559943582510579,0.9517682023588532,1665,173,44,536,1666,173,44,536,2.1286232471466064,36,True,True,False
mlp_exp_20251201_2105_model018,"(256, 128, 64)",1e-05,0.001,500,0.33,0.9464823675349991,0.9231337767923133,0.8631651693158259,0.9866670930695322,0.9114971050454922,0.8482758620689655,0.7961165048543689,0.9537048328392931,0.9111202976436544,0.853448275862069,0.792,0.9517682023588532,0.9102564102564102,0.9241379310344827,0.7559943582510579,0.9537048328392931,0.9102935097147582,0.9241379310344827,0.7559943582510579,0.9517682023588532,1665,173,44,536,1666,173,44,536,1.9766802787780762,36,True,True,False
mlp_exp_20251201_2105_model019,"(256, 128, 64)",1e-05,0.0007,300,0.29000000000000004,0.9472798157008683,0.9235033259423503,0.8656044336681676,0.9873692795255988,0.9119106699751861,0.8448275862068966,0.799347471451876,0.9459734156316837,0.909466721785862,0.8689655172413793,0.7789799072642968,0.9530554461757702,0.9036393713813069,0.9241379310344827,0.7393103448275862,0.9459734156316837,0.9069863579991733,0.9413793103448276,0.7408412483039348,0.9530554461757702,1649,189,44,536,1648,191,34,546,2.288769006729126,42,True,True,False
mlp_exp_20251201_2105_model020,"(256, 128, 64)",1e-05,0.0007,500,0.29000000000000004,0.9472798157008683,0.9235033259423503,0.8656044336681676,0.9873692795255988,0.9119106699751861,0.8448275862068966,0.799347471451876,0.9459734156316837,0.909466721785862,0.8689655172413793,0.7789799072642968,0.9530554461757702,0.9036393713813069,0.9241379310344827,0.7393103448275862,0.9459734156316837,0.9069863579991733,0.9413793103448276,0.7408412483039348,0.9530554461757702,1649,189,44,536,1648,191,34,546,2.305569648742676,42,True,True,False
mlp_exp_20251201_2105_model021,"(256, 128, 64)",0.0001,0.001,300,0.22,0.9471912103491051,0.9142645971914265,0.8717406624383368,0.9876319264623035,0.9077750206782464,0.8258620689655173,0.7970049916805324,0.9484967731041988,0.9123604795369987,0.8551724137931035,0.7948717948717948,0.9509366034764021,0.8990901571546733,0.9258620689655173,0.7276422764227642,0.9484967731041988,0.9032658123191402,0.9448275862068966,0.7306666666666667,0.9509366034764021,1637,201,43,537,1637,202,32,548,2.3419530391693115,42,True,True,False
mlp_exp_20251201_2105_model022,"(256, 128, 64)",0.0001,0.001,500,0.22,0.9471912103491051,0.9142645971914265,0.8717406624383368,0.9876319264623035,0.9077750206782464,0.8258620689655173,0.7970049916805324,0.9484967731041988,0.9123604795369987,0.8551724137931035,0.7948717948717948,0.9509366034764021,0.8990901571546733,0.9258620689655173,0.7276422764227642,0.9484967731041988,0.9032658123191402,0.9448275862068966,0.7306666666666667,0.9509366034764021,1637,201,43,537,1637,202,32,548,2.307852029800415,42,True,True,False
mlp_exp_20251201_2105_model023,"(256, 128, 64)",0.0001,0.0007,300,0.35,0.9498493709020025,0.9497413155949741,0.8566666666666667,0.9882873808871593,0.901571546732837,0.8568965517241379,0.7622699386503068,0.9480788713369103,0.902852418354692,0.8741379310344828,0.757847533632287,0.9515825692374041,0.9057071960297767,0.9293103448275862,0.7424242424242424,0.9480788713369103,0.902852418354692,0.9344827586206896,0.7334235453315291,0.9515825692374041,1651,187,41,539,1642,197,38,542,2.793760061264038,51,True,True,False
